date,place,sun_dur,prec,weather_label,weather_no
230525,ebina,0.271,0.0,cfrn,6
230525,gotenba,0.371,0.0,cfrn,6
230526,odawara,0.557,0.0,cfrn,6
230526,ebina,0.3,0.0,cfrn,6
230526,gotenba,0.614,0.0,cfrn,6
230527,odawara,0.929,0.0,cnrn,9
230527,ebina,0.943,0.0,cnrn,9
230527,gotenba,0.929,0.0,cnrn,9
230528,odawara,0.586,0.0,cfrn,6
230528,ebina,0.743,0.0,cfrn,6
230528,gotenba,0.471,0.0,cfrn,6
230529,odawara,0.0,0.0,cyrn,3
230529,ebina,0.0,1.5,cyrf,2
230529,gotenba,0.0,0.5,cyrf,2
230530,odawara,0.0,6.5,cyrf,2
230530,ebina,0.0,1.0,cyrf,2
230530,gotenba,0.0,11.5,cyry,1
230531,odawara,0.0,2.0,cyrf,2
230531,ebina,0.0,1.0,cyrf,2
230531,gotenba,0.0,1.0,cyrf,2
230601,odawara,0.586,0.0,cfrn,6
230601,ebina,0.443,0.0,cfrn,6
230601,gotenba,0.271,0.0,cfrn,6
230602,odawara,0.0,86.0,cyry,1
230602,ebina,0.0,72.0,cyry,1
230602,gotenba,0.0,123.5,cyry,1
230603,odawara,0.0,52.0,cyry,1
230603,ebina,0.014,75.5,cyry,1
230603,gotenba,0.129,58.0,cfry,4
230604,odawara,0.886,0.0,cfrn,6
230604,ebina,0.986,0.0,cnrn,9
230604,gotenba,0.729,0.0,cfrn,6
230605,odawara,0.7,0.0,cfrn,6
230605,ebina,0.5,0.0,cfrn,6
230605,gotenba,0.629,0.0,cfrn,6
230606,odawara,0.0,0.0,cyrn,3
230606,ebina,0.014,0.0,cyrn,3
230606,gotenba,0.0,0.0,cyrn,3
230607,odawara,0.529,2.5,cfrf,5
230607,ebina,0.657,4.5,cfrf,5
230607,gotenba,0.629,4.0,cfrf,5
230608,odawara,0.786,0.0,cfrn,6
230608,ebina,0.686,0.0,cfrn,6
230608,gotenba,0.6,0.0,cfrn,6
230609,odawara,0.0,71.5,cyry,1
230609,ebina,0.0,50.0,cyry,1
230609,gotenba,0.0,78.0,cyry,1
230610,odawara,0.2,0.0,cfrn,6
230610,ebina,0.029,0.0,cyrn,3
230610,gotenba,0.143,0.0,cfrn,6
230611,odawara,0.0,15.0,cyry,1
230611,ebina,0.0,14.0,cyry,1
230611,gotenba,0.0,27.0,cyry,1
230612,odawara,0.0,2.0,cyrf,2
230612,ebina,0.0,3.0,cyrf,2
230612,gotenba,0.0,2.0,cyrf,2
230613,odawara,0.643,0.0,cfrn,6
230613,ebina,0.429,1.0,cfrf,5
230613,gotenba,0.771,0.0,cfrn,6
230614,odawara,0.0,0.0,cyrn,3
230614,ebina,0.0,0.0,cyrn,3
230614,gotenba,0.0,0.5,cyrf,2
230615,odawara,0.0,0.0,cyrn,3
230615,ebina,0.0,0.0,cyrn,3
230615,gotenba,0.0,0.0,cyrn,3
230616,odawara,0.757,3.5,cfrf,5
230616,ebina,0.671,4.0,cfrf,5
230616,gotenba,0.657,0.5,cfrf,5
230617,odawara,1.014,0.0,cnrn,9
230617,ebina,1.014,0.0,cnrn,9
230617,gotenba,1.014,0.0,cnrn,9
230618,odawara,0.586,0.0,cfrn,6
230618,ebina,0.671,0.0,cfrn,6
230618,gotenba,0.557,0.0,cfrn,6
230619,odawara,0.143,0.0,cfrn,6
230619,ebina,0.314,0.0,cfrn,6
230619,gotenba,0.371,0.0,cfrn,6
230620,odawara,0.1,0.0,cyrn,3
230620,ebina,0.014,0.0,cyrn,3
230620,gotenba,0.0,1.0,cyrf,2
230621,odawara,0.714,0.0,cfrn,6
230621,ebina,0.729,0.0,cfrn,6
230621,gotenba,0.814,0.0,cfrn,6
230622,odawara,0.0,0.0,cyrn,3
230622,ebina,0.0,0.0,cyrn,3
230622,gotenba,0.0,0.0,cyrn,3
230623,odawara,0.0,0.0,cyrn,3
230623,ebina,0.0,0.0,cyrn,3
230623,gotenba,0.0,0.0,cyrn,3
230624,odawara,0.571,0.0,cfrn,6
